Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33,No,Travel_Frequently,809,Human Resources,22,2,Other,1,142,2,Male,94,3,2,Human Resources,3,Married,5379,20518,7,Y,No,18,4,2,80,2,12,6,2,8,6,5,4
18,No,Travel_Frequently,519,Research & Development,25,5,Life Sciences,1,143,2,Female,87,1,2,Research Director,3,Divorced,2863,26325,0,Y,Yes,19,3,1,80,3,0,1,3,0,0,0,0
36,No,Non-Travel,1337,Human Resources,7,2,Marketing,1,144,2,Female,52,1,1,Human Resources,2,Single,19101,26181,5,Y,No,19,3,3,80,3,18,0,4,1,1,1,1
35,No,Non-Travel,1362,Research & Development,27,3,Technical Degree,1,145,2,Female,39,3,1,Research Director,2,Single,9365,8119,9,Y,No,19,3,3,80,1,17,3,1,17,8,4,5
52,No,Travel_Frequently,594,Human Resources,29,5,Human Resources,1,146,1,Male,35,3,3,Manager,2,Single,11884,14738,3,Y,No,15,4,1,80,0,32,4,4,12,1,5,3
50,Yes,Non-Travel,538,Research & Development,28,4,Life Sciences,1,147,1,Male,98,4,2,Research Scientist,1,Divorced,10722,24574,0,Y,Yes,13,3,1,80,3,30,5,2,25,16,14,15
20,No,Travel_Frequently,749,Research & Development,1,4,Other,1,148,4,Male,98,1,1,Research Director,3,Single,19296,26865,4,Y,Yes,22,3,4,80,0,0,2,4,0,0,0,0
24,Yes,Travel_Frequently,1219,Human Resources,10,2,Marketing,1,149,2,Female,31,2,4,Human Resources,1,Single,10233,2258,1,Y,No,20,4,2,80,0,3,2,4,2,2,1,2
40,No,Non-Travel,213,Sales,28,5,Technical Degree,1,150,1,Male,67,1,2,Sales Representative,3,Single,5676,8562,8,Y,Yes,22,4,2,80,2,21,2,2,6,3,5,6
60,No,Travel_Frequently,749,Sales,14,2,Life Sciences,1,151,3,Female,61,2,2,Manager,4,Divorced,3296,23092,9,Y,No,17,4,2,80,2,40,1,3,20,7,3,9
39,Yes,Non-Travel,258,Human Resources,24,1,Life Sciences,1,152,2,Male,81,2,5,Human Resources,1,Divorced,16966,10633,4,Y,Yes,19,4,2,80,1,21,2,3,15,14,14,11
32,No,Non-Travel,441,Research & Development,25,5,Medical,1,153,1,Female,50,2,4,Research Director,4,Divorced,5396,23701,4,Y,Yes,24,3,2,80,3,14,2,3,14,12,9,11
32,No,Travel_Rarely,1430,Sales,11,1,Other,1,154,4,Female,63,2,2,Sales Representative,3,Divorced,13114,14497,4,Y,Yes,16,3,4,80,2,14,3,4,12,7,3,1
51,Yes,Travel_Rarely,424,Sales,12,5,Other,1,155,1,Male,59,4,5,Sales Representative,2,Divorced,1225,5807,7,Y,No,18,4,3,80,3,32,1,2,12,5,5,7
28,Yes,Travel_Rarely,1160,Human Resources,13,5,Human Resources,1,156,2,Male,66,1,5,Human Resources,2,Married,5199,21968,0,Y,Yes,18,4,1,80,1,10,1,1,10,6,0,3
56,No,Travel_Rarely,135,Research & Development,7,5,Human Resources,1,157,2,Female,49,1,2,Laboratory Technician,4,Married,9676,22238,8,Y,No,20,3,4,80,0,33,0,1,4,4,1,4
60,No,Non-Travel,1281,Research & Development,4,4,Medical,1,158,4,Female,91,2,4,Research Scientist,4,Married,18115,21698,6,Y,Yes,25,4,4,80,2,40,1,2,4,4,4,0
18,No,Non-Travel,666,Sales,22,4,Medical,1,159,3,Female,100,4,3,Sales Executive,4,Married,14406,20414,5,Y,Yes,19,4,4,80,2,0,2,3,0,0,0,0
40,No,Non-Travel,208,Human Resources,6,4,Other,1,160,4,Male,41,2,4,Manager,1,Divorced,8538,16360,1,Y,Yes,12,3,3,80,2,22,1,2,22,12,4,21
23,Yes,Non-Travel,1163,Research & Development,10,2,Life Sciences,1,161,4,Male,51,1,3,Healthcare Representative,2,Single,18081,23557,9,Y,Yes,11,3,1,80,0,4,2,4,4,0,3,3
40,No,Travel_Frequently,565,Research & Development,20,2,Technical Degree,1,162,3,Female,30,3,1,Laboratory Technician,1,Married,17974,18682,3,Y,Yes,12,3,3,80,2,21,2,3,21,12,12,18
50,No,Travel_Rarely,1089,Sales,4,3,Life Sciences,1,163,4,Female,58,2,4,Sales Representative,2,Married,9205,13664,9,Y,No,19,3,4,80,2,30,1,3,30,8,28,17
23,Yes,Travel_Rarely,645,Research & Development,7,2,Medical,1,164,4,Male,75,2,3,Research Scientist,2,Single,11293,4665,7,Y,No,21,4,2,80,0,4,6,2,3,2,0,1
20,No,Travel_Frequently,1081,Human Resources,18,1,Human Resources,1,165,2,Female,80,2,4,Manager,4,Single,10011,24974,9,Y,No,19,4,1,80,2,1,5,2,1,1,1,1
18,Yes,Travel_Frequently,970,Sales,7,4,Other,1,166,4,Female,76,4,2,Sales Representative,2,Married,9518,7988,5,Y,No,20,3,3,80,1,0,6,3,0,0,0,0
35,No,Travel_Frequently,615,Sales,18,5,Life Sciences,1,167,2,Female,42,2,4,Sales Executive,4,Single,5909,10426,2,Y,Yes,18,3,3,80,3,17,5,4,7,6,6,3
34,No,Non-Travel,1147,Research & Development,16,4,Life Sciences,1,168,2,Female,66,4,1,Laboratory Technician,3,Single,12285,23084,4,Y,Yes,23,4,3,80,3,13,5,2,11,5,8,8
54,No,Travel_Frequently,1304,Human Resources,17,4,Technical Degree,1,169,3,Male,53,1,3,Human Resources,3,Divorced,8487,9782,5,Y,No,21,4,4,80,0,34,1,4,12,1,1,2
43,No,Travel_Frequently,735,Sales,8,2,Other,1,170,2,Female,86,2,1,Sales Executive,1,Divorced,2772,7684,8,Y,Yes,11,3,1,80,2,22,6,3,3,0,0,3
48,No,Travel_Rarely,285,Research & Development,15,3,Marketing,1,171,3,Female,63,2,4,Healthcare Representative,4,Single,18983,2097,4,Y,Yes,19,3,3,80,2,29,2,4,14,13,8,14
52,No,Travel_Frequently,910,Research & Development,8,2,Other,1,172,2,Female,78,2,3,Healthcare Representative,1,Single,15113,15929,0,Y,Yes,21,3,4,80,2,30,2,3,0,0,0,0
52,Yes,Travel_Rarely,413,Human Resources,2,5,Life Sciences,1,173,3,Male,43,3,2,Manager,4,Single,6986,25529,1,Y,Yes,18,3,4,80,1,32,0,4,25,8,13,6
18,Yes,Travel_Frequently,248,Sales,18,4,Medical,1,174,2,Male,62,4,3,Sales Executive,3,Single,17340,25512,4,Y,Yes,14,4,1,80,3,0,1,1,0,0,0,0
20,No,Travel_Rarely,840,Human Resources,29,1,Other,1,175,3,Male,44,2,3,Manager,1,Married,13759,2587,7,Y,Yes,13,4,4,80,0,0,3,1,0,0,0,0
18,No,Non-Travel,1200,Sales,26,1,Medical,1,176,1,Female,59,3,2,Manager,3,Divorced,9159,26889,1,Y,Yes,16,4,3,80,1,0,0,1,0,0,0,0
42,No,Travel_Frequently,665,Human Resources,28,5,Human Resources,1,177,2,Male,38,2,4,Manager,4,Married,16911,10723,0,Y,No,19,4,3,80,3,20,0,2,11,11,2,4
50,No,Travel_Rarely,1357,Human Resources,10,3,Technical Degree,1,178,2,Female,44,1,5,Human Resources,1,Single,12939,6346,9,Y,No,13,3,4,80,1,31,0,4,12,11,2,0
30,No,Travel_Rarely,1060,Research & Development,26,1,Marketing,1,179,2,Female,77,1,1,Research Director,1,Married,9395,19428,8,Y,Yes,11,3,4,80,2,10,0,1,1,0,1,1
51,No,Non-Travel,1464,Sales,14,1,Medical,1,180,1,Male,100,4,5,Manager,2,Married,7337,23640,3,Y,Yes,13,4,3,80,2,28,2,4,3,0,1,3
38,No,Travel_Frequently,102,Human Resources,24,1,Marketing,1,181,3,Male,96,2,5,Manager,4,Single,8896,11935,5,Y,Yes,14,3,4,80,2,16,0,3,11,6,10,6
35,Yes,Travel_Frequently,290,Human Resources,19,4,Human Resources,1,182,3,Male,39,3,4,Manager,2,Single,2245,18093,1,Y,Yes,24,3,2,80,2,17,0,3,17,16,17,4
54,Yes,Travel_Rarely,755,Human Resources,18,5,Medical,1,183,4,Female,94,2,4,Human Resources,2,Single,12409,24167,5,Y,Yes,22,4,1,80,3,33,6,1,12,1,12,0
54,No,Travel_Frequently,1129,Human Resources,14,2,Medical,1,184,1,Female,55,4,2,Manager,1,Divorced,13930,20815,4,Y,No,14,3,4,80,1,35,0,4,16,2,7,13
45,No,Travel_Rarely,818,Research & Development,20,4,Human Resources,1,185,3,Male,86,1,4,Laboratory Technician,2,Single,14561,24551,1,Y,No,16,3,1,80,0,25,0,3,10,10,9,1
21,Yes,Non-Travel,631,Human Resources,18,4,Human Resources,1,186,2,Male,32,4,3,Human Resources,1,Married,4655,7675,5,Y,No,11,4,2,80,1,1,6,3,1,0,1,0
57,Yes,Travel_Frequently,1143,Human Resources,23,1,Marketing,1,187,3,Female,98,1,3,Human Resources,1,Single,13744,18499,1,Y,No,18,3,4,80,0,34,1,1,8,0,7,0
37,No,Travel_Rarely,1238,Human Resources,9,2,Medical,1,188,1,Female,80,2,3,Human Resources,2,Divorced,12372,14618,0,Y,No,19,3,3,80,3,17,1,3,10,7,6,2
27,Yes,Travel_Rarely,1445,Human Resources,19,2,Marketing,1,189,3,Male,98,1,2,Human Resources,2,Married,18776,6862,7,Y,Yes,22,3,2,80,2,8,3,2,6,2,4,2
37,No,Travel_Rarely,155,Research & Development,12,1,Other,1,190,3,Female,47,4,2,Healthcare Representative,2,Single,5988,14790,4,Y,Yes,18,4,2,80,1,19,1,1,14,11,14,13
32,No,Travel_Rarely,977,Sales,13,1,Human Resources,1,191,4,Female,70,4,2,Manager,2,Divorced,8301,20835,6,Y,Yes,20,3,3,80,0,13,3,4,0,0,0,0
20,Yes,Travel_Frequently,1357,Research & Development,2,5,Medical,1,192,3,Female,87,1,2,Research Director,4,Single,2624,7984,8,Y,No,23,3,4,80,3,0,3,3,0,0,0,0
46,No,Travel_Rarely,1174,Research & Development,23,4,Other,1,193,1,Male,78,4,3,Research Scientist,1,Single,3964,13077,7,Y,Yes,20,3,4,80,1,26,6,1,0,0,0,0
29,No,Travel_Frequently,127,Sales,15,4,Technical Degree,1,194,2,Male,93,2,3,Sales Executive,1,Divorced,15631,23703,4,Y,Yes,18,4,1,80,3,11,3,2,11,0,6,4
56,Yes,Travel_Rarely,1468,Sales,19,5,Marketing,1,195,3,Female,41,1,2,Sales Executive,2,Married,19278,7934,4,Y,Yes,13,4,1,80,1,38,3,1,19,0,7,17
55,Yes,Travel_Frequently,776,Human Resources,17,4,Human Resources,1,196,4,Male,56,1,4,Human Resources,1,Divorced,13086,26005,5,Y,No,21,3,2,80,3,37,5,3,11,0,1,4
56,No,Non-Travel,578,Human Resources,23,3,Medical,1,197,4,Male,45,1,3,Manager,2,Divorced,11379,5958,6,Y,No,22,3,4,80,3,34,3,4,29,25,22,9
39,Yes,Travel_Frequently,801,Sales,13,5,Human Resources,1,198,3,Male,52,2,3,Sales Representative,3,Married,7601,24129,0,Y,Yes,18,4,1,80,0,19,5,3,11,8,10,3
48,No,Travel_Frequently,237,Sales,5,3,Life Sciences,1,199,2,Female,78,2,1,Manager,3,Divorced,14573,14859,7,Y,No,13,3,3,80,2,26,5,1,4,3,4,2
20,No,Travel_Rarely,291,Research & Development,15,5,Life Sciences,1,200,1,Female,94,2,4,Laboratory Technician,3,Married,13185,17936,3,Y,Yes,22,4,3,80,2,1,1,2,1,1,0,1
51,No,Travel_Rarely,313,Sales,17,3,Life Sciences,1,201,1,Female,56,3,5,Sales Executive,3,Single,13709,11484,7,Y,Yes,15,4,3,80,3,33,5,1,21,4,6,1
35,No,Travel_Frequently,1277,Sales,8,2,Life Sciences,1,202,3,Female,73,4,5,Sales Executive,3,Single,19346,3044,0,Y,Yes,18,3,2,80,0,17,3,3,4,1,2,0
23,No,Non-Travel,1061,Sales,4,4,Marketing,1,203,2,Female,90,2,3,Sales Executive,1,Single,12662,22309,9,Y,Yes,15,4,1,80,3,3,1,4,3,3,1,3
60,No,Non-Travel,1278,Human Resources,5,5,Life Sciences,1,204,2,Female,43,3,4,Human Resources,4,Married,3150,19551,0,Y,No,18,4,3,80,3,42,1,4,10,5,7,7
33,No,Non-Travel,1277,Human Resources,27,4,Life Sciences,1,205,2,Female,71,1,5,Manager,3,Single,7832,12187,5,Y,No,17,3,1,80,0,12,5,2,5,3,3,0
42,Yes,Non-Travel,1017,Human Resources,7,2,Other,1,206,4,Female,68,3,2,Manager,2,Divorced,3975,13374,0,Y,Yes,12,3,3,80,3,23,6,2,10,7,10,10
36,No,Travel_Frequently,883,Sales,14,5,Medical,1,207,4,Male,90,2,1,Sales Executive,2,Divorced,12780,14696,8,Y,Yes,24,4,3,80,3,16,1,4,1,1,0,0
60,No,Non-Travel,1339,Research & Development,14,5,Medical,1,208,2,Female,95,4,4,Research Director,2,Married,5727,14700,0,Y,No,16,3,4,80,1,37,3,1,4,1,0,0
18,No,Travel_Rarely,392,Human Resources,24,5,Marketing,1,209,1,Female,96,1,3,Human Resources,4,Single,19894,17575,8,Y,Yes,21,3,4,80,2,0,4,3,0,0,0,0
39,No,Non-Travel,1325,Sales,24,3,Other,1,210,3,Female,37,4,5,Manager,4,Single,16384,20865,8,Y,No,11,4,3,80,0,17,2,3,17,0,15,14
23,Yes,Travel_Rarely,637,Research & Development,26,2,Technical Degree,1,211,2,Male,97,1,3,Healthcare Representative,1,Single,10215,6847,2,Y,Yes,20,3,4,80,3,3,6,2,1,0,1,1
42,No,Travel_Frequently,1077,Research & Development,24,5,Medical,1,212,2,Female,79,4,1,Healthcare Representative,1,Single,12316,19475,9,Y,No,24,4,4,80,0,19,2,1,7,7,2,3
42,No,Travel_Rarely,624,Research & Development,21,5,Technical Degree,1,213,3,Female,60,2,5,Research Director,4,Married,4199,24301,0,Y,No,22,3,3,80,2,21,4,3,21,10,16,21
18,Yes,Travel_Rarely,218,Sales,20,2,Human Resources,1,214,2,Male,45,1,4,Manager,3,Single,4413,14413,8,Y,Yes,21,3,1,80,0,0,5,3,0,0,0,0
34,No,Travel_Rarely,630,Sales,27,3,Medical,1,215,1,Female,38,4,3,Sales Executive,1,Divorced,15000,14959,4,Y,Yes,13,4,4,80,0,14,1,3,9,7,1,7
45,No,Travel_Rarely,1439,Human Resources,21,1,Life Sciences,1,216,4,Female,64,2,1,Manager,1,Married,9495,20923,7,Y,Yes,11,4,1,80,3,27,3,3,6,4,5,0
22,No,Non-Travel,287,Research & Development,12,5,Marketing,1,217,4,Male,88,3,5,Laboratory Technician,3,Single,4980,20263,7,Y,No,11,4,1,80,1,4,2,3,4,1,0,3
42,Yes,Non-Travel,1419,Human Resources,10,4,Human Resources,1,218,4,Female,32,1,2,Manager,1,Single,7217,13160,7,Y,Yes,23,3,4,80,3,24,0,2,3,2,3,0
59,No,Non-Travel,195,Sales,8,2,Life Sciences,1,219,4,Male,36,3,5,Sales Executive,1,Married,5889,22122,8,Y,Yes,13,3,1,80,0,40,0,2,21,16,14,21
56,No,Travel_Rarely,195,Research & Development,19,2,Marketing,1,220,2,Male,45,3,3,Laboratory Technician,3,Married,14975,7600,3,Y,No,22,4,3,80,1,33,3,1,25,19,7,2
55,Yes,Travel_Frequently,361,Sales,7,2,Other,1,221,1,Female,96,4,4,Sales Representative,1,Single,1521,7813,2,Y,Yes,20,3,3,80,1,37,5,2,1,0,0,1
57,No,Non-Travel,1141,Research & Development,8,4,Other,1,222,1,Male,65,1,4,Laboratory Technician,2,Single,12407,6983,4,Y,Yes,21,4,3,80,3,39,1,1,30,2,20,26
60,No,Non-Travel,462,Sales,6,1,Technical Degree,1,223,1,Male,39,2,2,Manager,3,Married,10349,21515,5,Y,No,20,4,1,80,3,39,1,4,29,1,1,20
38,Yes,Travel_Frequently,398,Human Resources,7,5,Technical Degree,1,224,4,Male,79,3,4,Human Resources,2,Married,8778,25681,1,Y,No,14,4,4,80,2,19,1,1,7,1,5,3
26,No,Non-Travel,1354,Research & Development,29,2,Human Resources,1,225,3,Male,41,4,4,Research Director,3,Married,16263,9186,1,Y,Yes,20,4,2,80,3,5,2,2,0,0,0,0
45,No,Non-Travel,1134,Sales,2,4,Human Resources,1,226,1,Female,91,1,2,Sales Representative,1,Married,19996,9975,6,Y,Yes,12,3,1,80,3,23,1,4,23,7,7,10
40,No,Travel_Frequently,480,Sales,26,3,Other,1,227,4,Female,30,1,2,Sales Representative,1,Divorced,10997,13002,7,Y,No,19,3,2,80,2,17,3,4,9,3,1,0
57,No,Travel_Rarely,1429,Research & Development,18,1,Human Resources,1,228,4,Male,47,3,3,Laboratory Technician,4,Divorced,17875,5815,0,Y,Yes,21,4,1,80,1,39,6,3,17,6,2,10
32,No,Non-Travel,1491,Human Resources,27,5,Marketing,1,229,4,Female,77,1,1,Human Resources,3,Married,10090,4954,6,Y,No,12,4,1,80,1,14,2,4,5,2,2,4
24,Yes,Travel_Frequently,1422,Sales,1,3,Medical,1,230,2,Male,32,2,2,Manager,3,Divorced,5940,13100,7,Y,Yes,17,4,4,80,2,2,3,4,1,1,0,0
60,No,Travel_Frequently,198,Human Resources,5,3,Marketing,1,231,2,Female,51,2,5,Manager,2,Single,10973,7840,7,Y,No,24,3,4,80,1,41,1,3,22,16,17,14
20,No,Travel_Rarely,1194,Sales,10,1,Life Sciences,1,232,2,Female,93,2,2,Sales Representative,3,Married,7054,7207,5,Y,Yes,11,4,3,80,2,1,3,3,1,0,1,1
54,No,Travel_Rarely,1015,Research & Development,12,1,Marketing,1,233,1,Male,54,2,4,Healthcare Representative,1,Single,4689,2832,5,Y,Yes,12,4,4,80,0,36,4,3,21,4,18,14
30,No,Travel_Frequently,1250,Research & Development,3,2,Other,1,234,3,Female,83,4,4,Healthcare Representative,3,Single,5856,25949,6,Y,No,25,4,3,80,3,10,1,1,7,5,0,5
56,No,Non-Travel,1048,Human Resources,23,5,Medical,1,235,4,Male,53,4,3,Manager,1,Divorced,18222,18169,7,Y,No,11,4,3,80,2,38,3,1,2,0,0,1
47,Yes,Travel_Frequently,1111,Human Resources,3,5,Other,1,236,4,Female,91,4,4,Manager,4,Divorced,10844,24569,4,Y,No,18,3,2,80,2,29,4,2,7,0,0,2
54,Yes,Non-Travel,831,Human Resources,2,3,Marketing,1,237,1,Male,95,2,4,Human Resources,3,Single,11484,21714,2,Y,Yes,23,3,3,80,2,31,6,2,0,0,0,0
37,No,Travel_Rarely,311,Research & Development,7,2,Human Resources,1,238,4,Male,54,1,2,Manufacturing Director,3,Married,12531,4597,9,Y,Yes,12,3,4,80,0,19,3,3,8,5,1,8
37,No,Travel_Rarely,566,Research & Development,10,2,Medical,1,239,2,Male,40,4,2,Research Scientist,1,Single,12217,2710,8,Y,No,23,4,2,80,3,14,0,1,11,2,7,9
24,Yes,Travel_Frequently,161,Sales,3,2,Other,1,240,2,Female,74,3,1,Sales Executive,1,Divorced,2427,25967,4,Y,Yes,20,3,2,80,0,4,0,1,0,0,0,0
18,Yes,Travel_Frequently,879,Human Resources,14,2,Human Resources,1,241,4,Male,82,1,1,Manager,3,Single,1150,17360,8,Y,No,12,3,1,80,3,0,6,2,0,0,0,0
36,No,Travel_Frequently,488,Research & Development,28,1,Technical Degree,1,242,2,Female,52,1,4,Manufacturing Director,3,Divorced,4800,5540,7,Y,No,17,4,4,80,0,17,0,4,17,1,2,10
43,No,Non-Travel,1124,Sales,9,5,Human Resources,1,243,1,Female,81,3,3,Sales Representative,2,Divorced,3129,21858,2,Y,No,17,4,2,80,2,24,1,4,12,11,9,1
24,Yes,Non-Travel,771,Research & Development,5,3,Human Resources,1,244,1,Male,39,4,1,Manufacturing Director,1,Single,5419,11713,3,Y,Yes,21,4,2,80,3,6,4,4,0,0,0,0
52,Yes,Travel_Rarely,1242,Research & Development,22,3,Other,1,245,4,Male,92,4,1,Laboratory Technician,3,Married,15112,25546,0,Y,No,17,4,4,80,0,31,4,4,10,8,8,0
49,No,Travel_Frequently,1365,Human Resources,22,3,Marketing,1,246,3,Female,37,1,4,Human Resources,1,Single,16404,14100,9,Y,Yes,16,3,4,80,2,27,3,4,21,17,21,17
45,No,Travel_Rarely,1204,Sales,11,1,Technical Degree,1,247,3,Female,95,4,2,Sales Representative,1,Single,9011,24899,0,Y,No,18,3,1,80,2,26,3,1,11,5,6,5
42,Yes,Non-Travel,256,Human Resources,27,5,Medical,1,248,3,Female,63,1,3,Manager,2,Divorced,7756,15267,1,Y,No,23,3,4,80,0,21,5,3,10,9,1,7
24,No,Non-Travel,743,Human Resources,7,4,Technical Degree,1,249,3,Female,95,4,4,Human Resources,3,Single,18410,22667,9,Y,Yes,22,3,3,80,3,4,1,1,4,2,2,0
47,No,Travel_Rarely,1400,Human Resources,7,4,Marketing,1,250,3,Female,50,3,3,Human Resources,2,Married,7583,9908,8,Y,Yes,12,3,4,80,1,26,0,2,8,8,6,0
37,No,Travel_Rarely,1421,Sales,28,1,Other,1,251,3,Female,32,1,2,Sales Executive,2,Married,2221,21807,6,Y,No,15,3,3,80,3,18,2,1,14,7,8,6
60,No,Travel_Frequently,776,Human Resources,27,5,Other,1,252,1,Female,60,4,1,Human Resources,3,Single,8743,5594,2,Y,Yes,13,3,2,80,2,38,3,4,28,2,12,26
34,No,Travel_Frequently,145,Research & Development,21,5,Life Sciences,1,253,3,Male,60,3,4,Research Director,3,Married,18891,12228,5,Y,Yes,21,4,4,80,0,13,4,2,1,1,1,0
46,No,Travel_Frequently,266,Sales,27,4,Technical Degree,1,254,3,Female,72,4,2,Sales Executive,2,Single,3966,24981,4,Y,Yes,15,3,4,80,2,26,3,4,12,0,6,4
53,No,Travel_Frequently,1281,Human Resources,3,1,Medical,1,255,4,Male,96,2,2,Manager,2,Married,2716,16888,0,Y,No,18,3,2,80,2,30,1,1,23,10,14,22
55,No,Non-Travel,1427,Human Resources,20,2,Life Sciences,1,256,2,Female,55,3,4,Human Resources,4,Single,3774,15235,3,Y,Yes,20,4,1,80,2,35,1,4,26,10,25,9
41,No,Travel_Frequently,691,Sales,24,4,Technical Degree,1,257,2,Male,85,2,4,Manager,1,Single,15268,11366,8,Y,No,22,3,2,80,3,18,1,2,5,4,0,0
27,No,Non-Travel,916,Research & Development,22,2,Other,1,258,4,Female,84,3,2,Research Scientist,1,Single,15786,20345,9,Y,No,11,3,2,80,2,7,1,1,0,0,0,0
40,No,Travel_Frequently,449,Research & Development,17,4,Marketing,1,259,2,Female,46,1,5,Healthcare Representative,4,Divorced,17541,19474,4,Y,No,17,3,1,80,2,19,0,3,19,19,1,0
20,No,Travel_Frequently,411,Research & Development,18,4,Life Sciences,1,260,2,Male,49,1,3,Laboratory Technician,3,Single,10279,3269,6,Y,No,18,4,3,80,1,0,5,4,0,0,0,0
45,Yes,Travel_Frequently,471,Research & Development,27,2,Other,1,261,1,Female,57,1,4,Research Director,1,Divorced,19387,8010,5,Y,No,17,3,3,80,1,24,6,2,3,3,0,3
24,No,Non-Travel,1452,Research & Development,16,4,Other,1,262,1,Female,30,3,3,Research Scientist,3,Divorced,13925,22487,1,Y,Yes,18,4,1,80,1,2,1,2,2,0,1,2
59,Yes,Travel_Rarely,435,Sales,13,4,Marketing,1,263,4,Male,45,3,1,Sales Representative,2,Married,13506,26207,8,Y,No,23,4,1,80,1,38,2,2,9,5,0,1
24,No,Travel_Frequently,1393,Human Resources,14,1,Life Sciences,1,264,4,Female,89,2,4,Human Resources,4,Married,15605,19371,7,Y,No,21,3,3,80,2,6,3,1,6,2,4,1
23,No,Travel_Frequently,295,Research & Development,15,5,Marketing,1,265,1,Female,62,1,5,Research Director,1,Single,9156,5827,4,Y,No,22,4,1,80,1,3,6,1,3,2,1,1
43,Yes,Non-Travel,633,Sales,28,1,Technical Degree,1,266,2,Male,30,4,4,Sales Executive,3,Single,15918,7721,5,Y,No,21,4,2,80,3,21,5,2,1,0,1,1
60,Yes,Travel_Rarely,331,Research & Development,27,1,Other,1,267,1,Male,33,2,5,Manufacturing Director,4,Divorced,10931,6850,7,Y,No,21,3,2,80,3,38,6,3,30,23,19,23
52,No,Travel_Frequently,142,Human Resources,28,4,Human Resources,1,268,2,Male,55,3,4,Manager,1,Single,5864,13033,7,Y,Yes,11,3,4,80,3,31,3,2,6,0,2,6
55,No,Non-Travel,232,Research & Development,9,4,Technical Degree,1,269,1,Male,93,3,4,Manufacturing Director,2,Divorced,14105,16388,7,Y,No,11,3,4,80,2,33,5,1,19,17,9,1
48,No,Non-Travel,1438,Sales,24,3,Technical Degree,1,270,4,Male,56,3,5,Manager,2,Divorced,12122,4918,3,Y,No,21,4,4,80,1,25,1,3,11,7,3,8
28,No,Travel_Rarely,1133,Sales,2,1,Marketing,1,271,3,Female,44,2,2,Sales Executive,1,Divorced,10959,9437,7,Y,Yes,18,4,3,80,2,9,6,3,9,7,1,6
20,No,Travel_Rarely,1392,Research & Development,4,2,Marketing,1,272,1,Male,67,4,1,Research Director,1,Married,4421,26098,8,Y,No,24,3,1,80,1,2,5,1,2,1,0,2
39,No,Travel_Frequently,840,Research & Development,21,2,Medical,1,273,1,Female,59,2,2,Manufacturing Director,3,Married,1224,15506,6,Y,No,25,4,3,80,2,18,0,2,4,0,1,3
27,No,Non-Travel,1454,Research & Development,29,5,Marketing,1,274,2,Female,81,3,2,Healthcare Representative,4,Married,14170,2352,5,Y,Yes,24,4,1,80,1,6,5,1,0,0,0,0
46,No,Travel_Frequently,360,Research & Development,17,5,Marketing,1,275,1,Male,41,3,3,Research Director,2,Married,15497,26900,9,Y,No,21,3,1,80,0,23,0,3,20,6,17,19
55,No,Non-Travel,112,Human Resources,15,3,Medical,1,276,1,Male,74,3,1,Manager,3,Divorced,4627,25518,8,Y,No,20,3,1,80,3,35,4,1,8,3,4,6
33,No,Travel_Rarely,1077,Human Resources,7,4,Life Sciences,1,277,1,Female,97,4,2,Manager,4,Married,4219,21240,7,Y,No,18,4,1,80,3,10,5,1,3,2,1,2
44,No,Non-Travel,858,Research & Development,4,5,Technical Degree,1,278,4,Male,45,3,4,Research Director,2,Married,16893,3413,2,Y,Yes,19,3,1,80,0,26,2,4,26,5,4,16
41,No,Travel_Frequently,106,Research & Development,4,5,Marketing,1,279,2,Male,35,4,5,Manufacturing Director,3,Divorced,5666,12242,2,Y,Yes,20,4,2,80,2,20,6,3,9,4,7,0
48,Yes,Non-Travel,1462,Research & Development,20,4,Technical Degree,1,280,2,Male,80,3,5,Research Director,4,Single,5548,24063,2,Y,No,25,4,3,80,2,26,5,4,26,23,26,19
28,No,Travel_Frequently,523,Sales,8,5,Technical Degree,1,281,1,Male,98,3,5,Sales Representative,4,Divorced,18763,3568,3,Y,Yes,18,3,2,80,2,10,3,1,0,0,0,0
44,No,Travel_Rarely,730,Sales,14,2,Life Sciences,1,282,2,Female,53,1,1,Manager,3,Single,4765,11859,1,Y,Yes,17,3,3,80,2,22,1,2,0,0,0,0
38,Yes,Travel_Frequently,1234,Research & Development,14,1,Technical Degree,1,283,1,Male,82,2,5,Research Scientist,4,Married,8860,20249,3,Y,Yes,20,3,3,80,1,16,6,4,8,6,1,0
59,No,Travel_Frequently,1238,Human Resources,15,1,Life Sciences,1,284,2,Female,67,2,1,Human Resources,2,Single,15622,17894,6,Y,Yes,15,4,2,80,3,36,2,3,25,4,9,18
31,No,Travel_Frequently,986,Human Resources,7,5,Human Resources,1,285,1,Female,73,3,5,Manager,1,Married,18510,10152,2,Y,No,21,4,2,80,2,13,1,4,9,8,4,0
